confirm,confirmAdd,confirmAddCut,country,dead,heal,name,nameMap,suspect
4326,320,0,韩国,14,4,大邱,Daegu,0
861,87,0,韩国,8,0,庆尚北道,North Gyeongsang,0
110,9,0,韩国,1,8,京畿道,Gyeonggi,0
103,4,0,韩国,0,11,首尔,Seoul,0
92,0,1,韩国,0,0,釜山,Busan,0
86,4,0,韩国,0,0,忠清南道,South Chungcheong,0
74,9,0,韩国,0,0,庆尚南道,South Gyeongsang,0
23,2,0,韩国,0,0,江原道,Gangwon,0
23,0,0,韩国,0,0,蔚山,Ulsan,0
16,1,0,韩国,0,0,大田,Daejeon,0
14,1,0,韩国,0,2,光州,Gwangju,0
12,1,0,韩国,0,0,忠清北道,North Chungcheong,0
9,0,0,韩国,0,1,仁川,Incheon,0
7,0,0,韩国,0,1,全罗北道,North Jeolla,0
5,0,0,韩国,0,1,全罗南道,South Jeolla,0
4,1,0,韩国,0,0,济州岛,Jeju,0
1,0,0,韩国,0,0,世宗,Sejong,0
0,0,0,韩国,16,3,地区待确认,,0
1820,0,0,意大利,73,250,伦巴第,Lombardy,0
544,0,0,意大利,22,6,艾米利亚-罗马涅,Emilia-Romagna,0
360,0,0,意大利,6,9,威尼托,Veneto,0
84,0,0,意大利,4,0,马尔凯,Marche,0
82,0,0,意大利,0,0,皮埃蒙特,Piemont,0
38,0,0,意大利,0,1,托斯卡纳,Tuscany,0
31,0,0,意大利,0,0,坎帕尼亚,Campania,0
30,0,0,意大利,0,3,拉齐奥,Lazio,0
26,0,0,意大利,1,4,利古里亚,Liguria,0
18,0,0,意大利,0,2,西西里,Sicily,0
18,0,0,意大利,0,0,弗留利-威尼斯-朱利亚,Friuli Venezia Giulia,0
9,0,0,意大利,1,1,阿普利亚,Apulia,0
9,0,0,意大利,0,0,翁布里亚,Umbria,0
7,0,0,意大利,0,0,阿布鲁佐,Abruzzo,0
5,0,0,意大利,0,0,特伦托自治,Provincia autonoma di Trento,0
3,0,0,意大利,0,0,莫利塞,Molise,0
2,0,0,意大利,0,0,撒丁岛,Sardegna,0
1,0,0,意大利,0,0,卡拉布里亚,calabria,0
1,0,0,意大利,0,0,博尔扎诺自治省,Provincia autonoma di Bolzano,0
1,0,0,意大利,0,0,巴西利卡塔,Basilicata,0
0,543,0,意大利,0,0,地区待确认,,0
0,0,0,意大利,0,0,特伦蒂诺-上阿迪杰,Trentino-Alto Adige - Südtirol,0
79,0,0,日本本土,3,0,北海道,Hokkaido,0
53,5,0,日本本土,0,32,地区待确认,,0
41,0,0,日本本土,0,0,爱知县,Aichi,0
40,0,0,日本本土,1,0,东京,Tokyo,0
32,0,0,日本本土,1,0,神奈川县,Kanagawa,0
17,0,0,日本本土,0,0,千叶县,Chiba,0
13,0,0,日本本土,1,0,和歌山县,Wakayama,0
8,0,0,日本本土,0,0,大阪府,Osaka,0
6,0,0,日本本土,0,0,石川县,Ishikawa,0
5,0,0,日本本土,0,0,熊本县,Kumamoto,0
5,0,0,日本本土,0,0,新潟县,Niigata,0
4,0,0,日本本土,0,0,埼玉县,Saitama,0
3,0,0,日本本土,0,0,京都府,Kyoto,0
3,0,0,日本本土,0,0,高知县,Kochi,0
3,0,0,日本本土,0,0,兵库县,Hyogo,0
3,0,0,日本本土,0,0,冲绳县,Okinawa,0
3,0,0,日本本土,0,0,福冈县,Fukuoka,0
2,0,0,日本本土,0,0,长野县,Nagano,0
2,0,0,日本本土,0,0,岐阜县,Nagano,0
1,0,0,日本本土,0,0,静冈县,Shizuoka,0
1,0,0,日本本土,0,0,栃木县,Tochigi,0
1,0,0,日本本土,0,0,宫城县,Miyagi,0
1,0,0,日本本土,0,0,爱媛县,Ehime,0
1,0,0,日本本土,0,0,山口县,Yamaguchi,0
1,0,0,日本本土,0,0,大分县,oita,0
1,0,0,日本本土,0,0,德岛县,Tokushima,0
1,0,0,日本本土,0,0,奈良县,Nara,0
1,0,0,日本本土,0,0,三重县,Mie,0
